N,T (°C),HR (%),P(hpa),Viento (m/s),Vx,Vy,Nubosidad(%),Flujo (L/día)
133,7.418181818,91.95454545,1014.839583,1.025,0.050310805,0.294991291,92,2.5
33,16.94166667,40.61458333,1015.341667,0.660416667,-0.173460781,0.023290723,5,0
40,12.67083333,83.28125,1013.2125,0.525,-0.166899159,-0.059032534,5,0
203,14.66875,77.125,1005.672917,0.841666667,-0.482419627,0.328430841,10,0
56,12.75061728,75.67901235,1019.723958,0.445679012,-0.157234661,0.103201436,93,0.02
132,9.412903226,88.80645161,1012.4875,0.809677419,-0.171153772,-0.256812148,98,2.17
91,15.41333333,43.95555556,1014.314583,0.402222222,-0.121062783,-0.185745583,100,0
141,11.64634146,85.29268293,1016.817021,1.146341463,-0.553479927,0.493709365,95,0
24,14.734375,53.79166667,1014.140625,0.910416667,-0.524812825,0.229338849,5,0
139,13.31666667,71.25,1013.452083,0.61875,-0.327500388,0.084523437,5,0
198,13.92083333,75.72916667,1002.870833,0.91875,-0.640162395,-0.056351,18,0.01
44,12.53854167,90.4375,1019.164583,0.322916667,0.086504484,-0.007726331,100,0
153,12.41956522,77.45652174,1006.579167,0.758695652,-0.477922156,-0.017127564,13,0.01
72,11.87708333,57.83333333,1012.091667,0.479166667,-0.310768812,0.005058413,5,0
201,14.91041667,75.91666667,1008.777083,0.975,-0.662926777,0.24446317,84,0
34,15.88958333,43.8125,1013.757292,0.753125,-0.325034868,-0.15212498,9,0
192,13.93478261,75.63043478,1007.58125,1.319565217,-0.998166704,-0.06376249,23,0
8,14.69791667,60.57291667,1014.713542,1.203125,-0.806430715,-0.298029434,100,0
66,8.740425532,70.38297872,1012.491667,0.455319149,-0.355510207,-0.088198163,6,0
69,10.88918919,77.18918919,1023.029167,0.497297297,-0.315964517,0.164574187,73,0.06
85,10.5375,91.66666667,1005.879167,0.279166667,-0.107945605,0.03852462,100,0
112,11.24545455,56,1011.23125,0.409090909,-0.201959514,-0.231646596,5,0
145,10.77419355,82.41935484,1008.64375,0.85483871,-0.596105756,-0.091830836,100,0
158,10.5826087,61.17391304,1008.847917,0.72173913,-0.344021268,0.109931614,5,0
3,17.709375,54.60416667,1011.322917,1.083333333,-0.614967441,0.172621211,5,0
42,12.34526316,92.31578947,1013.636842,0.294736842,0.043742352,0.020358374,100,0
196,13.81458333,67.75,1010.1,1.30625,-0.88790629,0.292347383,5,0
126,10.10681818,80.84090909,1014.408333,0.736363636,-0.370689579,0.215801498,37,0
120,9.954347826,73.52173913,1014.264583,0.489130435,-0.263488221,-0.023867793,100,0.03
162,9.760416667,79.375,1007.383333,0.660416667,-0.457732168,-0.122187272,99,0
123,8.716129032,89.41935484,1015.914583,0.364516129,-0.052786971,0.154705662,54,0.01
88,11.49791667,84.5625,1015.8875,0.408333333,-0.185856495,0.046019116,100,0.1
94,10.34375,89.3125,1013.429167,0.6375,-0.172952021,0.081135352,55,0
7,15.11041667,69.52083333,1015.333333,1.292708333,-0.792216763,-0.191395483,100,0
154,10.82619048,82.71428571,1009.410417,1.128571429,-0.652418878,-0.276451005,15,0
32,14.10833333,68.28125,1018.716667,0.696875,-0.341216654,0.02049595,99,0
2,16.74375,59.86458333,1016.190625,1.048958333,-0.664064322,-0.180783401,5,0
156,10.35813953,87.8372093,1012.914583,1.181395349,-0.829696374,-0.139926902,87,0.02
188,13.27333333,81,1010.3625,1.444444444,-0.876375336,0.092549005,100,1.42
4,15.23020833,67.84375,1014.761458,1.032291667,-0.657920634,0.191184288,8,0
68,8.014634146,60.34146341,1015.3,0.548780488,-0.315316868,-0.044458884,5,0
178,16.49459459,71.32432432,1008.625,1.075675676,-0.684519283,-0.041718014,37,0.01
179,17.996875,65.53125,1006.014583,1.175,-0.860291832,0.143792509,6,0
